accountcode,src,dst,dcontext,clid,channel,dstchannel,lastapp,start,answer,end,duration,billable,disposition,partyAiD,partyBiD,sequence
2501100,14055553199,14055550001,default,405-555-3199,SIP/US-CA-14055553199-104637,SIP/14055550001,DIAL,2018-01-03 6:01:01,0,2018-01-03 6:01:12,00:00:11,0,NO ANSWER,SIP/US-CA-14055553199,SIP-US-LOCAL,1
2501100,14055553199,14055550001,default,405-555-3199,SIP/US-CA-14055553199-195065,SIP/14055550001,DIAL,2018-01-03 6:04:01,2018-01-03 6:04:10,2018-01-03 6:10:24,00:06:23,00:06:14,ANSWERED,SIP/US-CA-14055553199,SIP-US-LOCAL,2
2501100,14055553199,819045671098,default,1-405-555-3199,SIP/US-CA-14055553199-112620,MGCP/819045671098,DIAL,2018-01-03 6:04:01,0,2018-01-03 6:04:30,00:00:29,0,NO ANSWER,SIP/US-CA-14055553199,MGCP-US-WEST-001,3
2501100,14055553199,819091239912,default,1-405-555-3199,SIP/US-CA-14055553199-146381,MGCP/819091239912,DIAL,2018-01-03 6:43:10,2018-01-03 6:43:18,2018-01-03 7:25:18,00:42:08,00:42:00,ANSWERED,SIP/US-CA-14055553199,MGCP-US-WEST-001,4
2501100,14055553199,819094312355,default,1-405-555-3199,SIP/US-CA-14055553199-150371,MGCP/819094312355,DIAL,2018-01-03 9:14:25,2018-01-03 9:14:37,2018-01-03 11:44:01,02:29:36,02:29:24,ANSWERED,SIP/US-CA-14055553199,MGCP-US-WEST-002,5
2501100,14055553199,819095551234,default,1-405-555-3199,SIP/US-CA-14055553199-137249,MGCP/819095551234,DIAL,2018-01-03 14:44:01,2018-01-03 14:44:11,2018-01-03 14:55:08,00:11:07,00:10:57,ANSWERED,SIP/US-CA-14055553199,MGCP-US-WEST-001,6
2501100,14055553199,440043211233,default,1-405-555-3199,SIP/US-CA-14055553199-149673,MGCP/440043211233,DIAL,2018-01-03 19:11:01,2018-01-03 19:11:09,2018-01-03 19:47:23,00:36:22,00:36:14,ANSWERED,SIP/US-CA-14055553199,MGCP-US-EAST-001,7
2501100,14055553199,330935837261,default,1-405-555-3199,SIP/US-CA-14055553199-169646,MGCP/330935837261,DIAL,2018-01-03 23:47:01,0,2018-01-03 23:47:33,00:00:32,0,NO ANSWER,SIP/US-CA-14055553199,MGCP-US-EAST-001,8
2501100,14055553199,330935837261,default,1-405-555-3199,SIP/US-CA-14055553199-114082,MGCP/330935837261,DIAL,2018-01-03 23:48:01,0,2018-01-03 23:48:31,00:00:30,0,NO ANSWER,SIP/US-CA-14055553199,MGCP-US-EAST-001,9
2501100,14055553199,867361944482,default,1-405-555-3199,SIP/US-CA-14055553199-192606,MGCP/867361944482,DIAL,2018-01-03 23:54:01,0,2018-01-03 23:54:18,00:00:17,0,NO ANSWER,SIP/US-CA-14055553199,MGCP-US-EAST-001,10
2502041,14055550960,14055554991,default,1-405-555-0960,SIP/US-CA-14055550960-148355,SIP/14055554991,DIAL,2018-01-03 5:01:35,0,2018-01-03 5:01:45,00:00:10,0,CONGESTED,SIP/US-CA-14055550960,SIP-US-LOCAL,11
2502041,14055550960,14055554991,default,1-405-555-0960,SIP/US-CA-14055550960-178578,SIP/14055554991,DIAL,2018-01-03 5:01:50,0,2018-01-03 5:01:54,00:00:04,0,CONGESTED,SIP/US-CA-14055550960,SIP-US-LOCAL,12
2502041,14055550960,14055554991,default,1-405-555-0960,SIP/US-CA-14055550960-189086,SIP/14055554991,DIAL,2018-01-03 5:02:01,0,2018-01-03 5:02:05,00:00:04,0,CONGESTED,SIP/US-CA-14055550960,SIP-US-LOCAL,13
