epoch,_time,customer,amount,previous_tx_date,category,action
1532437292,2018/07/24 09:01:32 EDT,Brian,725,07/23/2018 00:00:00,ECommerce,authorized
1532454922,2018/07/24 13:55:22 EDT,Dai,3301,07/21/2018 00:00:00,Consulting,authorized
1532426982,2018/07/24 06:09:42 EDT,Jonas,1963,07/20/2018 00:00:00,Food,authorized
1532417688,2018/07/24 03:34:48 EDT,Uriah,1046,07/19/2018 00:00:00,Restaurant,authorized
1532424118,2018/07/24 05:21:58 EDT,Naomi,1570,07/21/2018 00:00:00,Gas,authorized
1532443544,2018/07/24 10:45:44 EDT,Oren,2751,07/21/2018 00:00:00,Gas,authorized
1532443729,2018/07/24 10:48:49 EDT,Ariana,4572,07/19/2018 00:00:00,ECommerce,authorized
1532434544,2018/07/24 08:15:44 EDT,Hyatt,461,07/18/2018 00:00:00,Gas,authorized
1532439497,2018/07/24 09:38:17 EDT,Nathan,1488,07/22/2018 00:00:00,Specialty_Store,authorized
1532417558,2018/07/24 03:32:38 EDT,David,2014,07/20/2018 00:00:00,Food,authorized
1532419010,2018/07/24 03:56:50 EDT,Kuame,288,07/20/2018 00:00:00,Dept_Store,authorized
1532416883,2018/07/24 03:21:23 EDT,Gavin,3844,07/17/2018 00:00:00,Food,authorized
1532459016,2018/07/24 15:03:36 EDT,Alika,2528,07/19/2018 00:00:00,Dept_Store,authorized
1532459017,2018/07/24 15:03:37 EDT,Alika,528,07/19/2018 00:00:00,Dept_Store,authorized
1532459018,2018/07/24 15:03:38 EDT,Alika,252,07/19/2018 00:00:00,Dept_Store,authorized
1532459019,2018/07/24 15:03:39 EDT,Alika,2528,07/19/2018 00:00:00,Dept_Store,authorized
1532459020,2018/07/24 15:03:40 EDT,Alika,228,07/19/2018 00:00:00,Dept_Store,authorized
1532459021,2018/07/24 15:03:41 EDT,Alika,28,07/19/2018 00:00:00,Dept_Store,authorized
1532459022,2018/07/24 15:03:42 EDT,Alika,8,07/19/2018 00:00:00,Dept_Store,authorized
1532459023,2018/07/24 15:03:43 EDT,Alika,200,07/19/2018 00:00:00,Dept_Store,authorized
1532459024,2018/07/24 15:03:44 EDT,Alika,100,07/19/2018 00:00:00,Dept_Store,authorized
1532459025,2018/07/24 15:03:45 EDT,Alika,250,07/19/2018 00:00:00,Dept_Store,authorized
1532459026,2018/07/24 15:03:46 EDT,Alika,28,07/19/2018 00:00:00,Dept_Store,authorized
1532485927,2018/07/24 22:32:47 EDT,Alvin,83,07/18/2018 00:00:00,Dept_Store,authorized
1532446501,2018/07/24 11:35:01 EDT,Kay,4576,01/23/2018 00:00:00,Consulting,authorized
1532419901,2018/07/24 04:11:41 EDT,Carson,586,07/18/2018 00:00:00,ECommerce,authorized
1532414259,2018/07/24 02:37:39 EDT,Summer,3791,07/20/2018 00:00:00,Travel_Services,authorized
1532486801,2018/07/24 22:46:41 EDT,Britanney,203,07/19/2018 00:00:00,Restaurant,authorized
1532466163,2018/07/24 17:02:43 EDT,Destiny,3838,07/17/2018 00:00:00,Specialty_Store,authorized
1532466594,2018/07/24 17:09:54 EDT,Gloria,2229,07/21/2018 00:00:00,Specialty_Store,authorized
1532467978,2018/07/24 17:32:58 EDT,Vielka,2666,07/20/2018 00:00:00,Food,authorized
